Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
,,,"[0]372, 374-375, [8]413, 416, 417, [9]413, 416, 417","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,FIREFIGHTERS & PREVENTION WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]372, 374-375, [8]413, 416, 417, [9]413, 416, 417","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,FIREFIGHTERS & PREVENTION WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]372, 374-375, [8]413, 416, 417, [9]413, 416, 417","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,FIREFIGHTERS & PREVENTION WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]372, 374-375, [8]413, 416, 417, [9]413, 416, 417","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,FIRE INSPECTORS & FIRE PREVENTION WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]375, [8]416, [9]416","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,FIRE INSPECTORS & FIRE PREVENTION WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]375, [8]416, [9]416","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,FIRE INSPECTORS & FIRE PREVENTION WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]375, [8]416, [9]416","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,FIRE INSPECTORS & FIRE PREVENTION WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]375, [8]416, [9]416","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,FIREFIGHTERS AND SUPERVISORS OF FIREFIGHTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]372, 374, [8]413, 417, [9]413, 417","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,FIREFIGHTERS AND SUPERVISORS OF FIREFIGHTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]372, 374, [8]413, 417, [9]413, 417","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,FIREFIGHTERS AND SUPERVISORS OF FIREFIGHTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]372, 374, [8]413, 417, [9]413, 417","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,FIREFIGHTERS AND SUPERVISORS OF FIREFIGHTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]372, 374, [8]413, 417, [9]413, 417","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,LAW ENFORCEMENT WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]371, 380-385, [8]414, 418-424, [9]414, 418-424","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,LAW ENFORCEMENT WORKERS,MN PERITONEUM AND PLEURA,3067,<5,,77,17091
,,,"[0]371, 380-385, [8]414, 418-424, [9]414, 418-424","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,LAW ENFORCEMENT WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]371, 380-385, [8]414, 418-424, [9]414, 418-424","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,LAW ENFORCEMENT WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]371, 380-385, [8]414, 418-424, [9]414, 418-424","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,SUPERVISORS OF POLICE AND DETECTIVES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]371, [8]414, [9]414","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,SUPERVISORS OF POLICE AND DETECTIVES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]371, [8]414, [9]414","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,SUPERVISORS OF POLICE AND DETECTIVES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]371, [8]414, [9]414","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,SUPERVISORS OF POLICE AND DETECTIVES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]371, [8]414, [9]414","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"DETECTIVES, CRIMINAL INVESTIGATORS, POLICE AND SHERIFF’S PATROL OFFICERS, INC. SUPERVISORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]371, 382, 385, [8]414, 418, [9]414, 418","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"DETECTIVES, CRIMINAL INVESTIGATORS, POLICE AND SHERIFF’S PATROL OFFICERS, INC. SUPERVISORS",MN PERITONEUM AND PLEURA,4853,<5,p<0.05,121,27042
,,,"[0]371, 382, 385, [8]414, 418, [9]414, 418","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"DETECTIVES, CRIMINAL INVESTIGATORS, POLICE AND SHERIFF’S PATROL OFFICERS, INC. SUPERVISORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]371, 382, 385, [8]414, 418, [9]414, 418","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"DETECTIVES, CRIMINAL INVESTIGATORS, POLICE AND SHERIFF’S PATROL OFFICERS, INC. SUPERVISORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]371, 382, 385, [8]414, 418, [9]414, 418","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"DETECTIVES, CRIMINAL INVESTIGATORS, POLICE AND SHERIFF’S PATROL OFFICERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]382, 385, [8]418, [9]418","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"DETECTIVES, CRIMINAL INVESTIGATORS, POLICE AND SHERIFF’S PATROL OFFICERS",MN PERITONEUM AND PLEURA,5544,<5,p<0.05,139,30890
,,,"[0]382, 385, [8]418, [9]418","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"DETECTIVES, CRIMINAL INVESTIGATORS, POLICE AND SHERIFF’S PATROL OFFICERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]382, 385, [8]418, [9]418","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"DETECTIVES, CRIMINAL INVESTIGATORS, POLICE AND SHERIFF’S PATROL OFFICERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]382, 385, [8]418, [9]418","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"FISH, GAME & PARKING ENFORCEMENT",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]383, 384, [8]423, [9]423","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"FISH, GAME & PARKING ENFORCEMENT",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]383, 384, [8]423, [9]423","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"FISH, GAME & PARKING ENFORCEMENT",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]383, 384, [8]423, [9]423","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"FISH, GAME & PARKING ENFORCEMENT",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]383, 384, [8]423, [9]423","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"BAILIFF, CORRECTIONAL OFFICERS, JAILERS INC. SUPERVISORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]370, 380, [8]415, 424, [9]415, 423, 424","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"BAILIFF, CORRECTIONAL OFFICERS, JAILERS INC. SUPERVISORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]370, 380, [8]415, 424, [9]415, 423, 424","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"BAILIFF, CORRECTIONAL OFFICERS, JAILERS INC. SUPERVISORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]370, 380, [8]415, 424, [9]415, 423, 424","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"BAILIFF, CORRECTIONAL OFFICERS, JAILERS INC. SUPERVISORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]370, 380, [8]415, 424, [9]415, 423, 424","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,GUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]390-395, 386, [8]425-427, [9]425-427","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,GUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]390-395, 386, [8]425-427, [9]425-427","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,GUARDS,MN PERITONEUM AND PLEURA,187,<5,,5,1044
,,,"[0]390-395, 386, [8]425-427, [9]425-427","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,GUARDS,MN PERITONEUM AND PLEURA,203,<5,,5,1131
,,,"[0]390-395, 386, [8]425-427, [9]425-427","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,CROSSING GUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]394, [8]425, [9]425","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,CROSSING GUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]394, [8]425, [9]425","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,CROSSING GUARDS,MN PERITONEUM AND PLEURA,369,<5,,9,2057
,,,"[0]394, [8]425, [9]425","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,CROSSING GUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]394, [8]425, [9]425","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PRIVATE DETECTIVES AND GUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]386, 391-392, [8]426, [9]426","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PRIVATE DETECTIVES AND GUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]386, 391-392, [8]426, [9]426","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PRIVATE DETECTIVES AND GUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]386, 391-392, [8]426, [9]426","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PRIVATE DETECTIVES AND GUARDS,MN PERITONEUM AND PLEURA,213,<5,,5,1187
,,,"[0]386, 391-392, [8]426, [9]426","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,ANIMAL CONTROL AND LIFEGUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]390, 395, [8]427, [9]427","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,ANIMAL CONTROL AND LIFEGUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]390, 395, [8]427, [9]427","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,ANIMAL CONTROL AND LIFEGUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]390, 395, [8]427, [9]427","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,ANIMAL CONTROL AND LIFEGUARDS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]390, 395, [8]427, [9]427","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,FOOD PREPARATION & SERVICE OCCUPATIONS,MN PERITONEUM AND PLEURA,164,<5,,20,593
,,,"[0]400-406, 411-416, [8]433-444, [9]433-444","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,FOOD PREPARATION & SERVICE OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]400-406, 411-416, [8]433-444, [9]433-444","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,FOOD PREPARATION & SERVICE OCCUPATIONS,MN PERITONEUM AND PLEURA,62,7,,25,128
,,,"[0]400-406, 411-416, [8]433-444, [9]433-444","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,FOOD PREPARATION & SERVICE OCCUPATIONS,MN PERITONEUM AND PLEURA,207,<5,,5,1153
,,,"[0]400-406, 411-416, [8]433-444, [9]433-444","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"SUPERVISORS, FOOD PREPARATION & SERVICE OCCUPATION",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]400-401, 415, 780, [8]433, [9]433","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"SUPERVISORS, FOOD PREPARATION & SERVICE OCCUPATION",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]400-401, 415, 780, [8]433, [9]433","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"SUPERVISORS, FOOD PREPARATION & SERVICE OCCUPATION",MN PERITONEUM AND PLEURA,122,<5,,3,678
,,,"[0]400-401, 415, 780, [8]433, [9]433","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"SUPERVISORS, FOOD PREPARATION & SERVICE OCCUPATION",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]400-401, 415, 780, [8]433, [9]433","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,BARTENDERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]404, [8]434, [9]434","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,BARTENDERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]404, [8]434, [9]434","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,BARTENDERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]404, [8]434, [9]434","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,BARTENDERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]404, [8]434, [9]434","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,WAITERS & WAITRESSES,MN PERITONEUM AND PLEURA,1395,<5,,35,7772
,,,"[0]411, [8]435, [9]435","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,WAITERS & WAITRESSES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]411, [8]435, [9]435","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,WAITERS & WAITRESSES,MN PERITONEUM AND PLEURA,51,<5,,6,184
,,,"[0]411, [8]435, [9]435","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,WAITERS & WAITRESSES,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]411, [8]435, [9]435","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"COOKS, CHEFS AND BAKERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]400-402, [8]404, 433, 436, 437, [9]404, 433, 436","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"COOKS, CHEFS AND BAKERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]400-402, [8]404, 433, 436, 437, [9]404, 433, 436","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"COOKS, CHEFS AND BAKERS",MN PERITONEUM AND PLEURA,103,5,,33,241
,,,"[0]400-402, [8]404, 433, 436, 437, [9]404, 433, 436","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"COOKS, CHEFS AND BAKERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]400-402, [8]404, 433, 436, 437, [9]404, 433, 436","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"COOKS, EXC SHORT ORDER",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]402, 780, [8]436, [9]436","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"COOKS, EXC SHORT ORDER",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]402, 780, [8]436, [9]436","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"COOKS, EXC SHORT ORDER",MN PERITONEUM AND PLEURA,95,<5,,26,243
,,,"[0]402, 780, [8]436, [9]436","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"COOKS, EXC SHORT ORDER",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]402, 780, [8]436, [9]436","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"FOOD COUNTER, FOUNTAIN & RELATED OCCUPATIONS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]406, 412, [8]438, [9]438","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"FOOD COUNTER, FOUNTAIN & RELATED OCCUPATIONS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]406, 412, [8]438, [9]438","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"FOOD COUNTER, FOUNTAIN & RELATED OCCUPATIONS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]406, 412, [8]438, [9]438","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"FOOD COUNTER, FOUNTAIN & RELATED OCCUPATIONS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]406, 412, [8]438, [9]438","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,FOOD PREPARATION WORKERS AND SERVERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]403, 405, 412, 413, 416, [8]439, [9]439","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,FOOD PREPARATION WORKERS AND SERVERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]403, 405, 412, 413, 416, [8]439, [9]439","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,FOOD PREPARATION WORKERS AND SERVERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]403, 405, 412, 413, 416, [8]439, [9]439","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,FOOD PREPARATION WORKERS AND SERVERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]403, 405, 412, 413, 416, [8]439, [9]439","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,FOOD PREPARATION AND BARTENDER HELPERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]405, 413, 416, [8]443, [9]443","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,FOOD PREPARATION AND BARTENDER HELPERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]405, 413, 416, [8]443, [9]443","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,FOOD PREPARATION AND BARTENDER HELPERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]405, 413, 416, [8]443, [9]443","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,FOOD PREPARATION AND BARTENDER HELPERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]405, 413, 416, [8]443, [9]443","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,DISHWASHER OCCUPATIONS,MN PERITONEUM AND PLEURA,545,<5,,14,3039
,,,"[0]414, [8]444, [9]444","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,DISHWASHER OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]414, [8]444, [9]444","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,DISHWASHER OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]414, [8]444, [9]444","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,DISHWASHER OCCUPATIONS,MN PERITONEUM AND PLEURA,2232,<5,,56,12437
,,,"[0]414, [8]444, [9]444","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"HEALTH CARE SUPPORT (ASST, DRIVERS, AIDES)",MN PERITONEUM AND PLEURA,69,<5,,2,385
,,,"[0]360-365, 911, [8]445-447, [9]445-447","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"HEALTH CARE SUPPORT (ASST, DRIVERS, AIDES)",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]360-365, 911, [8]445-447, [9]445-447","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"HEALTH CARE SUPPORT (ASST, DRIVERS, AIDES)",MN PERITONEUM AND PLEURA,47,<5,,10,137
,,,"[0]360-365, 911, [8]445-447, [9]445-447","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"HEALTH CARE SUPPORT (ASST, DRIVERS, AIDES)",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]360-365, 911, [8]445-447, [9]445-447","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,AMBULANCE DRIVERS (EXC. EMT),MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]911,"[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,AMBULANCE DRIVERS (EXC. EMT),MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]911,"[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,AMBULANCE DRIVERS (EXC. EMT),MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]911,"[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,AMBULANCE DRIVERS (EXC. EMT),MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]911,"[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,DENTAL ASSISTANTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]364, [8]445, [9]445","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,DENTAL ASSISTANTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]364, [8]445, [9]445","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,DENTAL ASSISTANTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]364, [8]445, [9]445","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,DENTAL ASSISTANTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]364, [8]445, [9]445","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"PHYSICAL AND OCCUPATIONAL THERAPIST AIDES, EXC NURSING",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]361-362, [8]446, [9]446","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"PHYSICAL AND OCCUPATIONAL THERAPIST AIDES, EXC NURSING",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]361-362, [8]446, [9]446","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"PHYSICAL AND OCCUPATIONAL THERAPIST AIDES, EXC NURSING",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]361-362, [8]446, [9]446","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"PHYSICAL AND OCCUPATIONAL THERAPIST AIDES, EXC NURSING",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]361-362, [8]446, [9]446","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"NURSING, PSYCHIATRIC & HOME HEALTH AIDES",MN PERITONEUM AND PLEURA,77,<5,,2,427
,,,"[0]360, [8]447, [9]447","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"NURSING, PSYCHIATRIC & HOME HEALTH AIDES",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]360, [8]447, [9]447","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"NURSING, PSYCHIATRIC & HOME HEALTH AIDES",MN PERITONEUM AND PLEURA,36,<5,,4,132
,,,"[0]360, [8]447, [9]447","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"NURSING, PSYCHIATRIC & HOME HEALTH AIDES",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]360, [8]447, [9]447","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"CLEANING & BUILDING SERVICE OCCUPATIONS, EXC PRIV HOUSEHOLD",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]420, 422-424, 975, [8]448-455, [9]448-455","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"CLEANING & BUILDING SERVICE OCCUPATIONS, EXC PRIV HOUSEHOLD",MN PERITONEUM AND PLEURA,337,<5,,8,1876
,,,"[0]420, 422-424, 975, [8]448-455, [9]448-455","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"CLEANING & BUILDING SERVICE OCCUPATIONS, EXC PRIV HOUSEHOLD",MN PERITONEUM AND PLEURA,54,<5,,7,195
,,,"[0]420, 422-424, 975, [8]448-455, [9]448-455","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"CLEANING & BUILDING SERVICE OCCUPATIONS, EXC PRIV HOUSEHOLD",MN PERITONEUM AND PLEURA,56,<5,,1,310
,,,"[0]420, 422-424, 975, [8]448-455, [9]448-455","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,CLEANING SERVICE WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]420, 422-423, [8]448, 449, 453, [9]448, 449, 453","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,CLEANING SERVICE WORKERS,MN PERITONEUM AND PLEURA,345,<5,,9,1925
,,,"[0]420, 422-423, [8]448, 449, 453, [9]448, 449, 453","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,CLEANING SERVICE WORKERS,MN PERITONEUM AND PLEURA,55,<5,,7,197
,,,"[0]420, 422-423, [8]448, 449, 453, [9]448, 449, 453","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,CLEANING SERVICE WORKERS,MN PERITONEUM AND PLEURA,57,<5,,1,318
,,,"[0]420, 422-423, [8]448, 449, 453, [9]448, 449, 453","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"SUPERVISORS, CLEANING & BUILDING SERVICE WORKERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]420, [8]448, [9]448","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"SUPERVISORS, CLEANING & BUILDING SERVICE WORKERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]420, [8]448, [9]448","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"SUPERVISORS, CLEANING & BUILDING SERVICE WORKERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]420, [8]448, [9]448","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"SUPERVISORS, CLEANING & BUILDING SERVICE WORKERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]420, [8]448, [9]448","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MAIDS & HOUSEKEEPERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]423, [8]449, [9]449","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MAIDS & HOUSEKEEPERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]423, [8]449, [9]449","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MAIDS & HOUSEKEEPERS,MN PERITONEUM AND PLEURA,52,<5,,1,291
,,,"[0]423, [8]449, [9]449","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MAIDS & HOUSEKEEPERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]423, [8]449, [9]449","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,JANITORS & BLDG. CLEANERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]422, [8]453, [9]453","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,JANITORS & BLDG. CLEANERS,MN PERITONEUM AND PLEURA,377,<5,,9,2100
,,,"[0]422, [8]453, [9]453","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,JANITORS & BLDG. CLEANERS,MN PERITONEUM AND PLEURA,63,<5,,2,350
,,,"[0]422, [8]453, [9]453","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,JANITORS & BLDG. CLEANERS,MN PERITONEUM AND PLEURA,62,<5,,2,343
,,,"[0]422, [8]453, [9]453","[0]C384, C48, [9]158, 163",,,,,
